Country_ISO3,Year,revisedRequirements,INFORM Severity Index,Plan_Count,CERF_Funding,CBPF_Budget,Total_Actual_Funding,Funding_Gap,Pct_Funded
SYR,2020,4617532832,4.9,4,54883071.0,68737943.05,123621014.05,4493911817.95,2.68
AFG,2020,1931050820,4.6,4,27999965.0,74274515.41,102274480.41,1828776339.59,5.3
YEM,2020,8452043406,4.6,5,64999937.0,99093834.22,164093771.22,8287949634.78,1.94
COD,2020,5738269640,4.5,4,69931007.0,0.0,69931007.0,5668338633.0,1.22
SDN,2020,9733612516,4.5,4,103374841.0,75791589.6,179166430.6,9554446085.4,1.84
LBY,2020,1859692010,4.2,4,0.0,0.0,0.0,1859692010.0,0.0
SSD,2020,2699937964,4.2,4,26599346.0,62382675.09,88982021.09,2610955942.91,3.3
ETH,2020,12465691432,4.1,6,34224654.0,57478521.56,91703175.56,12373988256.44,0.74
IRQ,2020,22374431715,4.1,5,0.0,27594112.58,27594112.58,22346837602.42,0.12
NGA,2020,9402233065,4.1,4,13001946.0,23358102.5,36360048.5,9365873016.5,0.39
TCD,2020,8787846960,4.1,4,16525334.0,0.0,16525334.0,8771321626.0,0.19
VEN,2020,1562509363,4.1,4,0.0,0.0,0.0,1562509363.0,0.0
BFA,2020,3673073583,4.0,4,22006581.0,0.0,22006581.0,3651067002.0,0.6
CAF,2020,1353622290,4.0,4,1000994.0,0.0,1000994.0,1352621296.0,0.07
SOM,2020,5559799581,4.0,5,22090543.0,36556082.52,58646625.52,5501152955.48,1.05
COL,2020,8103602442,3.9,6,5000000.0,0.0,5000000.0,8098602442.0,0.06
PSE,2020,1220381684,3.9,4,22293277.0,0.0,22293277.0,1198088407.0,1.83
MLI,2020,1274292180,3.8,4,6999805.0,36189901.76,43189706.76,1231102473.24,3.39
CMR,2020,4763680496,3.7,4,8716990.0,0.0,8716990.0,4754963506.0,0.18
NER,2020,6580374785,3.7,4,21971841.0,0.0,21971841.0,6558402944.0,0.33
PRK,2020,946692162,3.7,5,4999689.0,0.0,4999689.0,941692473.0,0.53
HTI,2020,1271993035,3.5,4,11999405.0,0.0,11999405.0,1259993630.0,0.94
LBN,2020,21387254706,3.5,6,18987914.0,16210106.03,35198020.03,21352056685.97,0.16
MMR,2020,3225900000,3.5,4,0.0,16544732.78,16544732.78,3209355267.22,0.51
UKR,2020,1004653234,3.5,4,0.0,10725140.42,10725140.42,993928093.58,1.07
ZWE,2020,1600770933,3.5,3,34893136.0,0.0,34893136.0,1565877797.0,2.18
