CRISIS,Website name,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category.1,Trend (last 3 months),Reliability,Impact of the crisis,Geographical Impact,Human Impact,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated,Year,Source_File,DRIVERS
Complex crisis in Afghanistan,Complex crisis,AFG001,Afghanistan,AFG,Complex crisis,4.6,5,Very High,Increasing,High,5.0,4.9,5.0,4.5,5.0,4.0,4.3,4.0,4.5,Asia,2020-12-16,2020,inform_severity_dec_2020.xlsx,
Mixed migration flows in Algeria,Mixed Migration,DZA002,Algeria,DZA,International displacement,,x,x,-,Very Low,4.4,5.0,4.0,,,,2.5,3.0,2.0,Africa,2020-11-27,2020,inform_severity_dec_2020.xlsx,
Sahrawi refugees in Algeria,Sahrawi refugees,DZA003,Algeria,DZA,International displacement,2.3,3,Medium,Increasing,Medium,2.2,1.1,2.6,2.3,1.6,3.0,2.3,3.0,1.5,Africa,2020-11-27,2020,inform_severity_dec_2020.xlsx,
Multiple crises in Algeria,Country level,DZA004,Algeria,DZA,Multiple crises country,,x,x,-,Low,4.4,5.0,4.0,,,,2.5,3.0,2.0,Africa,2020-11-27,2020,inform_severity_dec_2020.xlsx,
Western Mediterranean Route,Western Mediterranean Route,REG008,"Algeria, Morocco, Spain","DZA, MAR, ESP",Regional crisis,,x,x,-,Very Low,,,3.2,,,,2.4,2.7,2.0,Europe,2020-12-17,2020,inform_severity_dec_2020.xlsx,
Central Mediterranean Route,Central Mediterranean Route,REG007,"Algeria, Tunisia, Libya, Italy","DZA, TUN, LBY, ITA",Regional crisis,,x,x,-,Very Low,,,4.0,,,,3.1,2.6,3.5,Europe,2020-12-17,2020,inform_severity_dec_2020.xlsx,
Nagorno-Karabakh Conflict in Armenia,Conflict,ARM002,Armenia,ARM,Conflict,,x,x,-,High,3.2,3.5,3.0,,,,1.9,1.8,2.0,Asia,2020-12-17,2020,inform_severity_dec_2020.xlsx,
Nagorno-Karabakh Conflict,Regional conflict,REG013,"Armenia, Azerbaijan","ARM, AZE",Regional crisis,,x,x,-,High,3.2,2.6,3.4,,,,2.8,2.6,3.0,Asia,2020-12-22,2020,inform_severity_dec_2020.xlsx,
Nagorno-Karabakh conflict in Azerbaijan,Conflict,AZE002,Azerbaijan,AZE,Conflict,,x,x,-,High,2.9,2.5,3.1,,,,3.0,2.9,3.0,Asia,2020-12-22,2020,inform_severity_dec_2020.xlsx,
Rohingya refugee crisis,Rohingya Refugees,BGD002,Bangladesh,BGD,International displacement,3.3,4,High,Increasing,Very High,2.7,0.1,3.6,3.6,3.2,4.0,3.1,2.7,3.5,Asia,2020-12-16,2020,inform_severity_dec_2020.xlsx,
Rohingya Regional Crisis,Rohingya Regional Crisis,REG011,"Bangladesh, Myanmar","BGD, MMR",Regional crisis,3.6,4,High,Decreasing,Very High,3.0,1.4,3.6,3.85,3.7,4.0,3.6,3.1,4.0,Asia,2020-12-16,2020,inform_severity_dec_2020.xlsx,
Venezuela displacement in Brazil,Venezuelan refugees,BRA002,Brazil,BRA,International displacement,2.3,3,Medium,Increasing,High,2.4,1.1,2.9,2.7,2.4,3.0,1.6,2.2,1.0,Americas,2020-10-06,2020,inform_severity_dec_2020.xlsx,
Conflict in Burkina Faso,Conflict,BFA002,Burkina Faso,BFA,Conflict,4.0,4,High,Stable,High,3.9,2.9,4.3,4.45,3.9,5.0,3.2,2.9,3.5,Africa,2020-12-22,2020,inform_severity_dec_2020.xlsx,
Floods in Burkina Faso,Floods,BFA003,Burkina Faso,BFA,Flood,2.4,3,Medium,-,High,3.3,4.6,2.4,1.1,1.2,1.0,3.5,2.9,4.0,Africa,2020-12-22,2020,inform_severity_dec_2020.xlsx,
Multiple crises in Burkina Faso,Country level,BFA004,Burkina Faso,BFA,Multiple crises country,3.9,4,High,-,High,4.2,4.6,4.0,3.95,3.9,4.0,3.5,2.9,4.0,Africa,2020-12-22,2020,inform_severity_dec_2020.xlsx,
Complex in Burundi,Complex crisis ,BDI001,Burundi,BDI,Complex crisis,3.3,4,High,Stable,High,3.4,4.0,3.1,3.25,3.5,3.0,3.3,3.1,3.5,Africa,2020-11-26,2020,inform_severity_dec_2020.xlsx,
Multiple crises in Cameroon,Country level,CMR001,Cameroon,CMR,Multiple crises country,3.7,4,High,Increasing,High,3.8,3.2,4.1,3.35,3.7,3.0,4.1,3.5,4.5,Africa,2020-11-30,2020,inform_severity_dec_2020.xlsx,
Boko Haram in Cameroon,Boko Haram,CMR002,Cameroon,CMR,Conflict,3.2,4,High,Decreasing,High,3.2,1.5,3.8,3.0,3.0,3.0,3.5,3.5,3.5,Africa,2020-11-30,2020,inform_severity_dec_2020.xlsx,
Anglophone Crisis in Cameroon,Anglophone crisis,CMR003,Cameroon,CMR,Conflict,3.4,4,High,Increasing,High,3.4,1.7,4.0,3.1,3.2,3.0,3.8,3.5,4.0,Africa,2020-11-30,2020,inform_severity_dec_2020.xlsx,
CAR refugees in Cameroon,CAR refugees,CMR004,Cameroon,CMR,International displacement,2.6,3,Medium,Stable,High,2.0,1.7,2.1,2.7,2.4,3.0,3.0,3.5,2.5,Africa,2020-11-30,2020,inform_severity_dec_2020.xlsx,
Complex crisis in CAR,Complex crisis,CAF001,CAR,CAF,Complex crisis,4.0,4,High,Stable,High,4.1,4.3,4.0,4.05,4.1,4.0,3.9,3.7,4.0,Africa,2020-12-22,2020,inform_severity_dec_2020.xlsx,
Multiple crises in Chad,Country level,TCD001,Chad,TCD,Multiple crises country,4.1,5,Very High,Stable,High,3.9,4.8,3.3,4.35,4.7,4.0,3.7,3.4,4.0,Africa,2020-12-22,2020,inform_severity_dec_2020.xlsx,
Boko Haram in Chad,Boko Haram ,TCD003,Chad,TCD,Conflict,3.6,4,High,Stable,High,3.1,0.6,3.9,3.8,2.6,5.0,3.7,3.4,4.0,Africa,2020-12-22,2020,inform_severity_dec_2020.xlsx,
CAR refugees in Chad,CAR refugees,TCD004,Chad,TCD,International displacement,3.3,4,High,Stable,Medium,2.8,1.9,3.2,3.65,3.3,4.0,3.2,3.4,3.0,Africa,2020-12-22,2020,inform_severity_dec_2020.xlsx,
Darfur refugees in Chad,Darfur refugees,TCD005,Chad,TCD,International displacement,3.2,4,High,Decreasing,High,2.4,1.7,2.7,3.7,3.4,4.0,3.0,3.4,2.5,Africa,2020-12-22,2020,inform_severity_dec_2020.xlsx,
Tibesti Conflict in Chad,Tibesti conflict,TCD006,Chad,TCD,Conflict,2.5,3,Medium,Decreasing,Medium,2.6,1.3,3.1,2.2,0.4,4.0,3.0,3.4,2.5,Africa,2020-12-22,2020,inform_severity_dec_2020.xlsx,
Floods in Chad,Floods,TCD008,Chad,TCD,Flood,2.6,3,Medium,-,High,2.9,4.1,2.0,1.7,2.4,1.0,3.7,3.4,4.0,Africa,2020-12-22,2020,inform_severity_dec_2020.xlsx,
Complex crisis in Colombia,Complex crisis,COL001,Colombia,COL,Complex crisis,3.9,4,High,Decreasing,High,4.1,5.0,3.5,3.95,4.9,3.0,3.5,2.9,4.0,Americas,2020-12-18,2020,inform_severity_dec_2020.xlsx,
Venezuela displacement in Colombia,Venezuelan refugees ,COL002,Colombia,COL,International displacement,3.4,4,High,Stable,Medium,3.6,2.7,3.9,3.55,4.1,3.0,3.0,2.9,3.0,Americas,2020-12-18,2020,inform_severity_dec_2020.xlsx,
