date,articles,frac
2021-01-01 00:00:00+00:00,95,0.0011253257521914239
2021-01-02 00:00:00+00:00,11,0.00015114873035066505
2021-01-03 00:00:00+00:00,14,0.0001941101436415063
2021-01-04 00:00:00+00:00,9,6.863470323116931e-05
2021-01-05 00:00:00+00:00,4,2.608480169029515e-05
2021-01-06 00:00:00+00:00,3,1.8562748276758202e-05
2021-01-07 00:00:00+00:00,4,2.4319657579221285e-05
2021-01-08 00:00:00+00:00,11,7.326300085251492e-05
2021-01-09 00:00:00+00:00,1,1.0327911179963852e-05
2021-01-10 00:00:00+00:00,1,1.2891249419893777e-05
2021-01-11 00:00:00+00:00,4,2.9293728212789642e-05
2021-01-12 00:00:00+00:00,1,6.394924987529897e-06
2021-01-13 00:00:00+00:00,4,2.2958026987160722e-05
2021-01-14 00:00:00+00:00,11,6.441601030656165e-05
2021-01-15 00:00:00+00:00,10,6.267863410720553e-05
2021-01-16 00:00:00+00:00,1,1.0712602305352017e-05
2021-01-17 00:00:00+00:00,12,0.00014671720259200392
2021-01-18 00:00:00+00:00,22,0.00017140230458189524
2021-01-19 00:00:00+00:00,40,0.00025361560750448585
2021-01-20 00:00:00+00:00,6,3.762699109494544e-05
2021-01-21 00:00:00+00:00,8,4.951904626316897e-05
2021-01-22 00:00:00+00:00,7,4.3147020390049064e-05
2021-01-23 00:00:00+00:00,3,3.334926687194993e-05
2021-01-24 00:00:00+00:00,1,1.3106675229694484e-05
2021-01-25 00:00:00+00:00,5,3.576435581242311e-05
2021-01-26 00:00:00+00:00,12,7.296873289795323e-05
2021-01-27 00:00:00+00:00,10,5.803291627010841e-05
2021-01-28 00:00:00+00:00,25,0.00014552482071342087
2021-01-29 00:00:00+00:00,16,9.790244021832245e-05
2021-01-30 00:00:00+00:00,7,7.41556845629052e-05
2021-01-31 00:00:00+00:00,15,0.00018804768889390348
2021-02-01 00:00:00+00:00,4,2.6376524892845368e-05
2021-02-02 00:00:00+00:00,9,5.2373387336114945e-05
2021-02-03 00:00:00+00:00,2,1.163792100179224e-05
2021-02-04 00:00:00+00:00,14,8.695382130989721e-05
2021-02-05 00:00:00+00:00,10,6.45978140099739e-05
2021-02-06 00:00:00+00:00,6,6.498077652027941e-05
2021-02-07 00:00:00+00:00,9,0.00011117424710329323
2021-02-08 00:00:00+00:00,11,7.655848720429284e-05
2021-02-09 00:00:00+00:00,9,5.498432946610216e-05
2021-02-10 00:00:00+00:00,2,1.1800175822619758e-05
2021-02-11 00:00:00+00:00,16,9.726502896674144e-05
2021-02-12 00:00:00+00:00,15,9.804626476413336e-05
2021-02-13 00:00:00+00:00,4,4.057577017883771e-05
2021-02-14 00:00:00+00:00,2,2.433445271815837e-05
2021-02-15 00:00:00+00:00,3,2.3796869918376738e-05
2021-02-16 00:00:00+00:00,7,4.585323036007887e-05
2021-02-17 00:00:00+00:00,4,2.4286139293151917e-05
2021-02-18 00:00:00+00:00,19,0.0001110688919416596
2021-02-19 00:00:00+00:00,15,9.743929531901626e-05
2021-02-20 00:00:00+00:00,25,0.000274991200281591
2021-02-21 00:00:00+00:00,4,5.077882015411372e-05
